Category: All categories

Month,pugs: (Worldwide)
2004-01,100
2004-02,87
2004-03,87
2004-04,85
2004-05,75
2004-06,72
2004-07,85
2004-08,73
2004-09,84
2004-10,92
2004-11,80
2004-12,77
2005-01,85
2005-02,77
2005-03,74
2005-04,75
2005-05,85
2005-06,74
2005-07,75
2005-08,78
2005-09,74
2005-10,71
2005-11,72
2005-12,70
2006-01,77
2006-02,80
2006-03,69
2006-04,75
2006-05,68
2006-06,63
2006-07,78
2006-08,67
2006-09,62
2006-10,65
2006-11,67
2006-12,62
2007-01,63
2007-02,65
2007-03,65
2007-04,62
2007-05,58
2007-06,54
2007-07,60
2007-08,61
2007-09,56
2007-10,62
2007-11,59
2007-12,64
2008-01,63
2008-02,60
2008-03,59
2008-04,54
2008-05,55
2008-06,53
2008-07,65
2008-08,64
2008-09,56
2008-10,51
2008-11,51
2008-12,59
2009-01,57
2009-02,48
2009-03,50
2009-04,53
2009-05,51
2009-06,48
2009-07,49
2009-08,56
2009-09,49
2009-10,49
2009-11,51
2009-12,52
2010-01,53
2010-02,48
2010-03,49
2010-04,48
2010-05,47
2010-06,42
2010-07,49
2010-08,47
2010-09,43
2010-10,41
2010-11,41
2010-12,42
2011-01,42
2011-02,43
2011-03,42
2011-04,38
2011-05,43
2011-06,41
2011-07,43
2011-08,49
2011-09,47
2011-10,47
2011-11,45
2011-12,50
2012-01,47
2012-02,51
2012-03,49
2012-04,55
2012-05,49
2012-06,59
2012-07,53
2012-08,58
2012-09,58
2012-10,50
2012-11,60
2012-12,58
2013-01,57
2013-02,53
2013-03,57
2013-04,54
2013-05,50
2013-06,55
2013-07,55
2013-08,57
2013-09,51
2013-10,60
2013-11,60
2013-12,66
2014-01,65
2014-02,54
2014-03,60
2014-04,55
2014-05,59
2014-06,61
2014-07,59
2014-08,61
2014-09,60
2014-10,62
2014-11,68
2014-12,78
2015-01,73
2015-02,78
2015-03,79
2015-04,79
2015-05,75
2015-06,73
2015-07,79
2015-08,82
2015-09,81
2015-10,81
2015-11,87
2015-12,88
2016-01,76
2016-02,78
2016-03,72
2016-04,68
2016-05,71
2016-06,67
2016-07,68
2016-08,62
2016-09,76
2016-10,71
2016-11,74
2016-12,78
2017-01,81
2017-02,78
2017-03,72
2017-04,71
2017-05,68
2017-06,57
2017-07,70
2017-08,67
2017-09,64
2017-10,64
2017-11,61
2017-12,68
2018-01,66
2018-02,64
2018-03,66
2018-04,58
2018-05,56
2018-06,48
2018-07,53
2018-08,50
2018-09,48
2018-10,48
2018-11,51
2018-12,53
2019-01,53
2019-02,55
2019-03,50
2019-04,52
2019-05,47
2019-06,45
2019-07,42
2019-08,45
2019-09,44
2019-10,43
2019-11,46
2019-12,44
2020-01,47
2020-02,43
2020-03,42
2020-04,57
2020-05,60
2020-06,54
2020-07,50
2020-08,46
2020-09,45
2020-10,42
2020-11,40
2020-12,41
2021-01,41
2021-02,39
2021-03,37
2021-04,34
2021-05,38
2021-06,36
2021-07,36
2021-08,37
2021-09,34
2021-10,35
2021-11,34
2021-12,34
2022-01,34
2022-02,31
2022-03,28
2022-04,39
2022-05,33
2022-06,31
2022-07,31
2022-08,31
2022-09,29
2022-10,28
2022-11,27
2022-12,29
2023-01,30
2023-02,28
